name,NS,lat,lon,process
NA-47-7-ed,N,A,47,TRUE
NA-48-6-ed,N,A,48,TRUE
NB-46-5-ed,N,B,46,TRUE
NB-47-6-ed,N,B,47,TRUE
NB-48-6-ed,N,B,48,TRUE
NC-46-4-ed,N,C,46,TRUE
NC-47-8-ed,N,C,47,TRUE
NC-48-6-ed,N,C,48,TRUE
NC-49-7-ed,N,C,49,TRUE
ND-47-7-ed,N,D,47,TRUE
NE-46-8-ed,N,E,46,TRUE
NE-47-8-ed,N,E,47,TRUE
NE-48-6-ed,N,E,48,TRUE
NF-46-6-ed,N,F,46,TRUE
NF-47-7-ed,N,F,47,TRUE
NF-48-7-ed,N,F,48,TRUE
ND-48-49-8-ed,N,D,48,TRUE
ND-48-49-8-ed,N,D,49,FALSE
NG-47-6-ed,N,G,47,TRUE
NG-46-6-ed,N,G,46,TRUE
