name,NS,lat,lon,process
NB-44-5-ed,N,B,44,TRUE
NC-43-7-ed,N,C,43,TRUE
NC-44-6-ed,N,C,44,TRUE
ND-43-7-ed,N,D,43,TRUE
ND-44-9-ed,N,D,44,TRUE
NE-43-7-ed,N,E,43,TRUE
NE-44-7-ed,N,E,44,TRUE
NE-45-7-ed,N,E,45,TRUE
NF-42-8-ed,N,F,42,TRUE
NF-43-9-ed,N,F,43,TRUE
NF-44-9-ed,N,F,44,TRUE
NF-45-8-ed,N,F,45,TRUE
NG-42-7-ed,N,G,42,TRUE
NG-43-7-ed,N,G,43,TRUE
NG-44-6-ed,N,G,44,TRUE
NG-45-8-ed,N,G,45,TRUE
NG-46-6-ed,N,G,46,TRUE
NH-42-6-ed,N,H,42,TRUE
NH-43-7-ed,N,H,43,TRUE
NH-44-6-ed,N,H,44,TRUE
NI-41-4-ed,N,I,41,TRUE
NI-42-5-ed,N,I,42,TRUE
NI-43-6-ed,N,I,43,TRUE
NJ-41-4-ed,N,J,41,TRUE
NJ-42-4-ed,N,J,42,TRUE
NF-46-6-ed,N,F,46,TRUE
