name,NS,lat,lon,process
NB-29-4-ed,N,B,29,TRUE
NB-30-4-ed,N,B,30,TRUE
NB-31-3-ed,N,B,31,TRUE
NB-32-2-ed,N,B,32,TRUE
NC-28-4-ed,N,C,28,TRUE
NC-29-4-ed,N,C,29,TRUE
NC-30-3-ed,N,C,30,TRUE
NC-31-3-ed,N,C,31,TRUE
NC-32-2-ed,N,C,32,TRUE
ND-28,N,D,28,TRUE
ND-29-4-ed,N,D,29,TRUE
ND-30-3-ed,N,D,30,TRUE
ND-31,N,D,31,TRUE
ND-32-5-ed,N,D,32,TRUE
NE-28-4-ed,N,E,28,TRUE
NE-29-4-ed,N,E,29,TRUE
NF-28-3-ed,N,F,28,TRUE
NF-29-4-ed,N,F,29,TRUE
NG-28-4-ed,N,G,28,TRUE
NG-31-6-ed,N,G,31,FALSE
NC-33-3-ed,N,C,33,TRUE
ND-33-5-ed,N,D,33,TRUE
